"","pull_request","number_of_commits","number_of_comments","number_of_reviews","user_type","user_login","merged_at","number_of_additions","number_of_deletions","number_of_files_changed","number_of_days","message","number_of_characters","second_line_is_blank","language","number_of_test_files"
"1425",495,1,1,0,"Externals","andygrunwald","2013-11-05T05:46:33Z",3,2,1,188,"If you analyze a project sometimes the statistic outputs a language with 0%. At first it seems that the language is not part of this project, but there are only some decimal places
missing.

This pull request adds two decimal places to the statistic output `linguist /folder/` or `bundle exec linguist /folder/`

**Original output (of a personal project)**

```
50%  Python
45%  Ruby
5%   PHP
```

**Output with PR (of a personal project)**

```
50.31%  Python
45.13%  Ruby
4.56%   PHP
```

**Original output (of [TYPO3 master](https://git.typo3.org/TYPO3v4/Core.git))**

```
84%  PHP
10%  JavaScript
6%   ActionScript
0%   XSLT
0%   Perl
0%   TypeScript
0%   Racket
0%   Shell
```

**Output with PR (of [TYPO3 master](https://git.typo3.org/TYPO3v4/Core.git))**

```
83.92%  PHP
9.96%   JavaScript
5.88%   ActionScript
0.13%   XSLT
0.04%   Perl
0.03%   TypeScript
0.02%   Racket
0.02%   Shell
```
",897,"False","en",0
"1432",475,2,1,0,"Externals","pointwise","2013-11-05T03:28:18Z",6,0,1,200,"Glyph, the Tcl-based scripting language in the Pointwise mesh generation software for computational fluid dynamics (CFD), offers the ability to automate all or part of the CFD meshing process.
",193,"True","en",0
"1435",460,6,5,0,"Externals","dwarfland","2013-11-05T23:14:34Z",187,0,3,216,"trying a new pull request after updating to latest master. Hopefully that solves the odd test failures, who knows...
",117,"True","en",0
"1438",450,6,7,0,"Externals","Giacom","2013-11-05T03:53:26Z",96,1,2,224,"Added:
- DM (Dream Maker) language.
- Sample DM file.

The DM language is used in an engine known as BYOND which allows users to easily create their own games in a language that is designed to be accessible for newcomers. I do not know how much a language has to be used on the site to be considered but searching for ""BYOND"" does show a lot of people using the language. I am also still learning git so if I have missed something then please let me know.
",456,"False","en",0
"1441",443,1,1,0,"Externals","stuartpb","2013-07-08T06:32:59Z",3,0,1,113,"Fixes #236
",11,"True","en",0
"1445",425,1,0,0,"Externals","mgalloy","2013-12-23T19:47:34Z",121,0,5,290,"I'm redoing pull-request to IDL to the list of languages without the changes to the `samples.json`.
",100,"True","en",0
"1450",416,4,15,0,"Externals","upsuper","2013-08-06T06:00:10Z",7192,8,4,157,"",0,"False","en",1
"1463",392,1,5,0,"Externals","qqshfox","2013-11-05T03:33:43Z",35,0,2,255,"",0,"False","en",0
"1472",377,1,3,0,"Externals","rlsosborne","2013-06-19T20:30:45Z",17,0,2,130,"This adds detection for the XC programming language (http://en.wikipedia.org/wiki/XC_Programming_Language), a C like language for developing embedded applications on XMOS devices.

There are various examples of projects using XC to be found at https://github.com/xcore
",269,"True","en",0
"1500",301,1,4,0,"Externals","andyli","2014-02-16T22:55:08Z",1,1,1,447,"Fix #106.
",10,"True","en",0
"1502",295,2,3,0,"Externals","yandy","2013-03-10T22:39:56Z",1,1,1,108,"Downcase the extname, so the methods such as image? can determine properbly
",76,"True","en",0
"1503",294,2,5,0,"Externals","DHowett","2013-03-06T22:42:46Z",82,3,3,104,"Logos is a language implemented on top of Objective-C and sees widespread use in the iPhone jailbreaking community.
Its main purpose is to make the creation of Objective-C-method-implementation-replacing ""tweaks"" easier.

Pygments support awaits the merging of a pull request (https://bitbucket.org/birkenfeld/pygments-main/pull-request/130/add-a-lexer-for-the-logos-language). The Travis build will likely fail until the aforementioned pull request is merged.

The included example is the example from the Pygments repository. A better example is at https://github.com/rpetrich/DietBar/blob/master/Tweak.x.
",608,"False","en",0
"1506",278,2,2,0,"Externals","DrItanium","2013-02-23T10:38:51Z",6,0,1,124,"CLIPS or C language integrated production system is a tool for writing expert
systems.

I did not add a syntax highlighter nor test files because my objective was to make sure that github tags my projects as CLIPS because right now they're blank. 
",248,"False","en",0
"1507",261,1,0,0,"Externals","justinclift","2013-01-08T12:21:29Z",1,1,1,108,"",0,"False","en",0
"1508",259,1,1,0,"Externals","afronski","2013-02-22T05:28:37Z",8,0,1,153,"SyntaxHighlighter should be recognized as a vendor library. 
Also enhance detection of the django template and treat _admin_media_ directory and files as vendor.
",162,"False","en",0
"1509",255,3,5,0,"Externals","seanupton","2013-02-22T06:49:18Z",2,0,1,156,"Various Python development communities (https://github.com/plone, https://github.com/collective, others) and developers on github using Zope page templates (.pt) and Zope Configuration Markup Language (.zcml) would greatly benefit from syntax highlighting of files with these extensions as XML.  languages.yml is updated and tests pass without regressions.
",357,"True","en",0
"1510",253,2,18,0,"Externals","reactormonk","2013-02-22T05:49:09Z",16,3,4,161,"Based on #238, I changed the mime-type based binary skip to include extensions from `languages.yml`, because it's more domain specific than mime types.
",152,"True","en",1
"1511",251,1,0,0,"Externals","ptrv","2013-02-12T00:05:53Z",53,0,2,154,"The primary extension .sc is usually used for class/library files.

The extension .scd is usually used for files where code is evaluated directly from the editor. (live coding)
",177,"True","en",0
"1514",246,3,20,0,"Externals","leafo","2013-01-08T12:15:38Z",907,0,2,131,"Adds MoonScript to the list of languages.

I didn't add a code sample because I can't run the script to regenerate the database because ruby pygments does not run on my system due to old version of rubypython: https://github.com/tmm1/pygments.rb/issues/10
",256,"True","en",0
"1516",239,2,3,0,"Externals","db0company","2013-02-22T06:01:03Z",50,0,2,178,"[Ocsigen](http://ocsigen.org/) is a web server and framework using OCaml.

It uses a syntax extension to manage the client-side, server-side or shared code. It also has its own compiler which requires a different file extension `.eliom`.

**OCaml syntax** seems fine to correctly display the Ocsigen code.
",306,"True","en",0
"1517",232,2,6,0,"Externals","strangewarp","2013-01-09T00:25:56Z",201,0,4,143,".pd_lua is the required extension for any Lua files written to directly communicate with Puredata, via the pdlua library.
",122,"True","en",0
"1518",231,3,7,0,"Externals","bfontaine","2013-01-08T12:37:18Z",55,0,4,143,"Extensions & colors & sample files added.
",42,"True","en",0
"1520",222,2,3,0,"Externals","tiwe-de","2013-01-08T12:23:18Z",5,0,2,146,"Debian packaging stuff should not count to the main source and debian/cron.d files are no D source.
",100,"True","en",1
"1521",221,1,2,0,"Externals","fkg","2013-01-08T12:31:45Z",4,0,1,146,"Add .ccxml, .grxml, .scxml, .vxml (from W3C specs) into the XML syntax group
",77,"True","en",0
"1523",215,2,7,0,"Externals","oxan","2013-06-17T18:01:06Z",28,1,2,311,"jQuery UI is used in quite some projects and should be recognized as a vendor library too. Also enhance detection of the jQuery validation plugin that is Microsoft adds to ASP.NET MVC projects by default. 
",206,"True","en",1
"1534",171,1,2,0,"Externals","ianmjones","2013-02-22T06:04:53Z",11,0,1,260,"I noticed that my REALbasic projects are often incorrectly set as being in the Ruby language, hopefully these changes to the linguist/languages.yml will correct this problem.
",175,"True","en",0
"1535",170,2,8,0,"Externals","johan","2013-02-25T06:50:44Z",8,0,1,263,"Pike is an object-oriented, interpreted programming language with a syntax similar to Java and C, high-level data types, automatic memory management, highly efficient string handling, easy to use APIs for network and database programming, and 18 years of active development behind it.

http://pike.ida.liu.se/
",310,"True","en",0
"1537",164,1,14,2,"Externals","michaelmior","2013-02-22T05:41:57Z",130,0,2,283,"I've tried to follow recent pull requests for this, but also adding accompanying unit tests. When trying to run the tests, I get the following error. Perhaps someone can point me in the right direction.

```
/home/mmior/apps/linguist/lib/linguist/language.rb:231:in `initialize': Awk is missing lexer (ArgumentError)
```
",321,"True","en",1
"1547",150,6,19,2,"Externals","lparenteau","2013-03-23T04:32:50Z",45791,34343,30,359,"This add detection for the M programming language (see https://en.wikipedia.org/wiki/MUMPS or the ISO/IEC standard of the language http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=29268).

I have successfully tested this using `bundle exec rake test`.

I have also called `bundle exec linguist` on all the projects hosted on GitHub which I know have M files (not .m files) in them, and they would now all be correctly categorized as M instead of Objective-C or Matlab :

```
90%  M
6%   C
3%   Objective-C
1%   Matlab
0%   Shell
0%   Assembly
0%   Python
```

I have also called `bundle exec linguist` on all the popular Objective-C projects found on GitHub (https://github.com/languages/Objective-C) with the following result :

```
62%  Objective-C
11%  C
10%  JavaScript
9%   Java
5%   Python
3%   C++
0%   PHP
0%   Shell
0%   C#
0%   Ruby
0%   Perl
0%   Lua
```

This patch clearly doesn't impact Objective-C detection based on defaulting to Objective-C for .m files.

This patch won't affect Matlab because Matlab's regex comes before the ones this patch is adding.
",1102,"True","en",0
